name,orbital_period,mass,radius,star_temperature,density
2MASS J21402931+1625183 A b,7336.5,6657.91,10.312188,2300.0,
55 Cnc e,0.736539,8.078476,1.905513,5196.0,6.4
BD+20 594 b,41.6855,16.299962,2.2305711,5766.0,7.89
CoRoT-1 b,1.5089557,327.334,16.701261,5950.0,0.38
CoRoT-10 b,13.2406,873.95,10.872633,5075.0,3.7
CoRoT-11 b,2.99433,740.474,16.028727,6440.0,0.99
CoRoT-12 b,2.828042,291.42260000000005,16.140816,5675.0,0.411
CoRoT-13 b,4.03519,415.68240000000003,9.919876499999999,5945.0,2.34
CoRoT-14 b,1.51214,2415.28,12.217701,6035.0,7.3
CoRoT-16 b,5.35227,170.02300000000002,13.114412999999999,5650.0,0.44
CoRoT-17 b,3.7681,772.2540000000001,11.433078,5740.0,2.82
CoRoT-18 b,1.9000693,1102.766,14.683659,5440.0,2.2
CoRoT-19 b,3.89713,352.75800000000004,14.459481,6090.0,0.71
CoRoT-2 b,1.7429935,1102.766,16.432247399999998,5625.0,1.47
CoRoT-20 b,9.24285,1347.4720000000002,9.415476,5880.0,8.87
CoRoT-22 b,9.75598,12.0764,4.8758715,5939.0,0.249
CoRoT-23 b,3.6313,889.84,11.769345,5900.0,3.0
CoRoT-24 b,5.1134,5.7204,3.698937,4950.0,0.9
CoRoT-24 c,11.759,27.9664,4.931916,4950.0,1.3
CoRoT-25 b,4.86069,85.80600000000001,12.105612,6040.0,0.15
CoRoT-26 b,4.20474,165.256,14.123213999999999,5590.0,0.28
CoRoT-27 b,3.57532,3301.9420000000005,11.287362299999998,5900.0,12.6
CoRoT-28 b,5.20851,153.8152,10.704499499999999,5150.0,0.69
CoRoT-29 b,2.85057,270.13,10.08801,5260.0,1.45
CoRoT-3 b,4.2568,6883.548000000001,11.320988999999999,6740.0,26.4
CoRoT-4 b,9.20205,228.816,13.338591,6190.0,0.525
CoRoT-5 b,4.0378962,148.41260000000003,15.557953199999998,6100.0,0.217
CoRoT-6 b,8.886593,940.688,13.069577399999998,6090.0,2.32
CoRoT-7 b,0.85359159,5.7204,1.5804548999999999,5259.0,7.5
CoRoT-8 b,6.21229,69.916,6.389073,5080.0,1.6
CoRoT-9 b,95.2738,266.952,11.769345,5625.0,0.9
EPIC 211351816 b,8.4061,349.58000000000004,14.683659,4790.0,0.02
EPIC 211391664 b,10.13675,32.196318,4.3042176,6120.0,2.15
GJ 1132 b,1.62893,1.62078,1.1545166999999998,3270.0,6.0
GJ 1214 b,1.58040456,6.26066,2.8470606,3170.0,1.49
GJ 3470 b,3.3366487,13.6654,3.8782794,3652.0,1.18
HAT-P-1 b,4.46529976,166.845,14.7845391,5980.0,0.282
HAT-P-11 b,4.8878162,25.7418,4.7301557999999995,4780.0,1.33
HAT-P-12 b,3.2130598,67.0558,10.7493351,4650.0,0.3192
HAT-P-13 b,2.91625,270.44780000000003,14.2577208,5653.0,
HAT-P-14 b,4.627669,709.3296000000001,12.890234999999999,6600.0,1.82
HAT-P-15 b,10.863502,618.4388,12.015940800000001,5568.0,1.96
HAT-P-16 b,2.77596,1332.5354,14.448272099999999,6158.0,2.42
HAT-P-17 b,10.338523,169.70520000000002,11.320988999999999,5246.0,0.64
HAT-P-18 b,5.508023,62.60660000000001,11.1528555,4803.0,0.25
HAT-P-19 b,4.008778,92.7976,12.688474799999998,4990.0,0.25
HAT-P-2 b,5.6334729,2888.802,12.9686973,6290.0,7.29
HAT-P-20 b,2.875317,2302.7788,9.7181163,4595.0,13.78
HAT-P-21 b,4.124481,1291.2214,11.4779136,5588.0,4.68
HAT-P-22 b,3.21222,682.3166,12.105612,5302.0,2.11
HAT-P-23 b,1.21288287,657.846,13.7196936,5885.0,1.406
HAT-P-24 b,3.35524,217.693,13.9214538,6373.0,0.44
HAT-P-25 b,3.652836,180.1926,13.338591,5500.0,0.42
HAT-P-26 b,4.234516,18.7502,6.333028499999999,5079.0,0.4
HAT-P-27 b,3.039577,197.036,11.433078,5300.0,
HAT-P-28 b,3.257215,198.9428,13.585186799999999,5680.0,0.44
HAT-P-29 b,5.723186,247.2484,12.4082523,6087.0,0.71
HAT-P-3 b,2.899736,187.8198,9.2697603,5185.0,1.29
HAT-P-30 b,2.810595,225.9558,15.019926,6304.0,0.37
HAT-P-31 b,5.005425,689.9438,11.993523,6065.0,2.18
HAT-P-33 b,3.474474,242.1636,18.8982054,6446.0,0.2
HAT-P-34 b,5.452654,1057.6384,13.417053300000001,6442.0,2.4
HAT-P-35 b,3.646706,334.9612,14.9302548,6096.0,0.55
HAT-P-36 b,1.327347,582.2096,14.1680496,5560.0,1.12
HAT-P-37 b,2.797436,371.50820000000004,13.204084199999999,5500.0,0.89
HAT-P-38 b,4.640382,84.85260000000001,9.2473425,5330.0,0.59
HAT-P-39 b,3.54387,190.3622,17.6091819,6430.0,0.19
HAT-P-4 b,3.056536,213.24380000000002,14.2801386,5860.0,0.403
HAT-P-40 b,4.457243,195.447,19.391397,6080.0,0.15
HAT-P-41 b,2.694047,254.24,18.8869965,6390.0,0.2
HAT-P-42 b,4.641878,331.7832,14.347392,5743.0,0.61
HAT-P-43 b,3.332687,210.38360000000003,14.358600899999999,5645.0,0.39
HAT-P-44 b,4.301219,111.8656,13.9214538,5295.0,0.23
HAT-P-45 b,3.128992,283.4776,15.9838914,6330.0,0.38
HAT-P-46 b,4.463129,156.6754,14.3922276,6120.0,0.28
HAT-P-49 b,2.691548,549.794,15.8381757,6820.0,0.75
HAT-P-5 b,2.788491,336.86800000000005,14.123213999999999,5960.0,0.66
HAT-P-50 b,3.1220109,429.03000000000003,14.4370632,6280.0,0.78
HAT-P-51 b,4.2180278,98.20020000000001,14.4931077,5449.0,0.178
HAT-P-52 b,2.7535953,259.9604,11.3097801,5131.0,0.98
HAT-P-53 b,1.9616241,471.6152,14.7733302,5956.0,0.8
HAT-P-54 b,3.799847,241.52800000000002,10.5812016,4390.0,1.118
HAT-P-55 b,3.5852467,184.9596,13.2489198,5808.0,0.435
HAT-P-56 b,2.7908327,692.8040000000001,16.432247399999998,6566.0,0.86
HAT-P-57 b,2.465295,587.9300000000001,15.8381757,7500.0,
