# Attempt at a cleaner version of the kidney cancer data from section 2.7 of Bayesian Data Analysis, 3rd edition (Gelman et al.)
# Based on http://www.stat.columbia.edu/~gelman/book/data/cancer/
# Columns 4 to 12 correspond to 1980-84; columns 13 to 21 to 1985-89
# Robin Ryder, 12 September 2019
"","state","Location","fips","dc","dcV","pop","popV","aadc","aadcV","dcC","dcCV","good","dc.2","dcV.2","pop.2","popV.2","aadc.2","aadcV.2","dcC.2","dcCV.2","good.2"
"108","ALABAMA","Autauga County, Alabama",1001,2,"VALID",61921,"VALID",3.3,"UNRELIABLE",3.2,"UNRELIABLE",1,1,"VALID",64915,"VALID",1.7,"UNRELIABLE",1.5,"UNRELIABLE",1
"117","ALABAMA","Baldwin County, Alabama",1003,7,"VALID",170945,"VALID",3.5,"UNRELIABLE",4.1,"UNRELIABLE",1,15,"VALID",195253,"VALID",6.3,"UNRELIABLE",7.7,"UNRELIABLE",1
"129","ALABAMA","Barbour County, Alabama",1005,0,"VALID",33316,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,1,"VALID",33987,"VALID",2.6,"UNRELIABLE",2.9,"UNRELIABLE",1
"199","ALABAMA","Bibb County, Alabama",1007,0,"VALID",30152,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,1,"VALID",31175,"VALID",2.9,"UNRELIABLE",3.2,"UNRELIABLE",1
"219","ALABAMA","Blount County, Alabama",1009,3,"VALID",88342,"VALID",3.2,"UNRELIABLE",3.4,"UNRELIABLE",1,5,"VALID",91547,"VALID",4.8,"UNRELIABLE",5.5,"UNRELIABLE",1
"306","ALABAMA","Bullock County, Alabama",1011,0,"VALID",8313,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,0,"VALID",8197,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"318","ALABAMA","Butler County, Alabama",1013,0,"VALID",31963,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,1,"VALID",31722,"VALID",2.8,"UNRELIABLE",3.2,"UNRELIABLE",1
"343","ALABAMA","Calhoun County, Alabama",1015,9,"VALID",243105,"VALID",4,"UNRELIABLE",3.7,"UNRELIABLE",1,12,"VALID",233021,"VALID",5.4,"UNRELIABLE",5.1,"UNRELIABLE",1
"439","ALABAMA","Chambers County, Alabama",1017,7,"VALID",59985,"VALID",8.3,"UNRELIABLE",11.7,"UNRELIABLE",1,0,"VALID",57813,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"467","ALABAMA","Cherokee County, Alabama",1019,0,"VALID",43401,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,0,"VALID",43828,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"490","ALABAMA","Chilton County, Alabama",1021,2,"VALID",65792,"VALID",3.1,"UNRELIABLE",3,"UNRELIABLE",1,3,"VALID",68837,"VALID",3.8,"UNRELIABLE",4.4,"UNRELIABLE",1
"496","ALABAMA","Choctaw County, Alabama",1023,1,"VALID",22741,"VALID",3.7,"UNRELIABLE",4.4,"UNRELIABLE",1,3,"VALID",22441,"VALID",11.4,"UNRELIABLE",13.4,"UNRELIABLE",1
"527","ALABAMA","Clarke County, Alabama",1025,1,"VALID",38611,"VALID",2.5,"UNRELIABLE",2.6,"UNRELIABLE",1,3,"VALID",37772,"VALID",6.7,"UNRELIABLE",7.9,"UNRELIABLE",1
"533","ALABAMA","Clay County, Alabama",1027,3,"VALID",27846,"VALID",8.1,"UNRELIABLE",10.8,"UNRELIABLE",1,3,"VALID",26954,"VALID",8.9,"UNRELIABLE",11.1,"UNRELIABLE",1
"557","ALABAMA","Cleburne County, Alabama",1029,2,"VALID",29718,"VALID",5.9,"UNRELIABLE",6.7,"UNRELIABLE",1,1,"VALID",29735,"VALID",3.1,"UNRELIABLE",3.4,"UNRELIABLE",1
"582","ALABAMA","Coffee County, Alabama",1031,3,"VALID",80334,"VALID",3.7,"UNRELIABLE",3.7,"UNRELIABLE",1,4,"VALID",81882,"VALID",4.4,"UNRELIABLE",4.9,"UNRELIABLE",1
"587","ALABAMA","Colbert County, Alabama",1033,3,"VALID",108797,"VALID",2.7,"UNRELIABLE",2.8,"UNRELIABLE",1,6,"VALID",104971,"VALID",4.9,"UNRELIABLE",5.7,"UNRELIABLE",1
"617","ALABAMA","Conecuh County, Alabama",1035,2,"VALID",22009,"VALID",7,"UNRELIABLE",9.1,"UNRELIABLE",1,2,"VALID",20687,"VALID",7.3,"UNRELIABLE",9.7,"UNRELIABLE",1
"627","ALABAMA","Coosa County, Alabama",1037,2,"VALID",18003,"VALID",8.1,"UNRELIABLE",11.1,"UNRELIABLE",1,1,"VALID",17828,"VALID",3.8,"UNRELIABLE",5.6,"UNRELIABLE",1
"640","ALABAMA","Covington County, Alabama",1039,4,"VALID",76229,"VALID",4,"UNRELIABLE",5.2,"UNRELIABLE",1,3,"VALID",75990,"VALID",3.5,"UNRELIABLE",3.9,"UNRELIABLE",1
"662","ALABAMA","Crenshaw County, Alabama",1041,1,"VALID",24885,"VALID",2.8,"UNRELIABLE",4,"UNRELIABLE",1,0,"VALID",24584,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"675","ALABAMA","Cullman County, Alabama",1043,9,"VALID",150894,"VALID",5.3,"UNRELIABLE",6,"UNRELIABLE",1,8,"VALID",158886,"VALID",4.4,"UNRELIABLE",5,"UNRELIABLE",1
"701","ALABAMA","Dale County, Alabama",1045,0,"VALID",102940,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,3,"VALID",103597,"VALID",3.8,"UNRELIABLE",2.9,"UNRELIABLE",1
"703","ALABAMA","Dallas County, Alabama",1047,3,"VALID",56506,"VALID",4.8,"UNRELIABLE",5.3,"UNRELIABLE",1,2,"VALID",51674,"VALID",3,"UNRELIABLE",3.9,"UNRELIABLE",1
"740","ALABAMA","DeKalb County, Alabama",1049,5,"VALID",127659,"VALID",3.4,"UNRELIABLE",3.9,"UNRELIABLE",1,7,"VALID",127111,"VALID",5.1,"UNRELIABLE",5.5,"UNRELIABLE",1
"861","ALABAMA","Elmore County, Alabama",1051,2,"VALID",84767,"VALID",2.4,"UNRELIABLE",2.4,"UNRELIABLE",1,2,"VALID",90901,"VALID",2,"UNRELIABLE",2.2,"UNRELIABLE",1
"875","ALABAMA","Escambia County, Alabama",1053,3,"VALID",63039,"VALID",4.6,"UNRELIABLE",4.8,"UNRELIABLE",1,7,"VALID",61661,"VALID",10,"UNRELIABLE",11.4,"UNRELIABLE",1
"884","ALABAMA","Etowah County, Alabama",1055,8,"VALID",212029,"VALID",3.3,"UNRELIABLE",3.8,"UNRELIABLE",1,9,"VALID",207327,"VALID",3.5,"UNRELIABLE",4.3,"UNRELIABLE",1
"903","ALABAMA","Fayette County, Alabama",1057,0,"VALID",40023,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,4,"VALID",39067,"VALID",8.3,"UNRELIABLE",10.2,"UNRELIABLE",1
"946","ALABAMA","Franklin County, Alabama",1059,7,"VALID",65356,"VALID",9.7,"UNRELIABLE",10.7,"UNRELIABLE",1,1,"VALID",64837,"VALID",1.1,"UNRELIABLE",1.5,"UNRELIABLE",1
"1021","ALABAMA","Geneva County, Alabama",1061,3,"VALID",50623,"VALID",4.4,"UNRELIABLE",5.9,"UNRELIABLE",1,4,"VALID",50474,"VALID",5.4,"UNRELIABLE",7.9,"UNRELIABLE",1
"1099","ALABAMA","Greene County, Alabama",1063,0,"VALID",5657,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,0,"VALID",5158,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"1140","ALABAMA","Hale County, Alabama",1065,0,"VALID",14014,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,0,"VALID",14462,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"1236","ALABAMA","Henry County, Alabama",1067,0,"VALID",22904,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,1,"VALID",23335,"VALID",3,"UNRELIABLE",4.3,"UNRELIABLE",1
"1286","ALABAMA","Houston County, Alabama",1069,3,"VALID",142039,"VALID",2.2,"UNRELIABLE",2.1,"UNRELIABLE",1,7,"VALID",146155,"VALID",4.5,"UNRELIABLE",4.8,"UNRELIABLE",1
"1351","ALABAMA","Jackson County, Alabama",1071,7,"VALID",118182,"VALID",6.8,"UNRELIABLE",5.9,"UNRELIABLE",1,6,"VALID",110987,"VALID",5.4,"UNRELIABLE",5.4,"UNRELIABLE",1
"1387","ALABAMA","Jefferson County, Alabama",1073,58,"VALID",1041498,"VALID",5.3,"VALID",5.6,"VALID",1,53,"VALID",1014649,"VALID",4.8,"VALID",5.2,"VALID",1
"1548","ALABAMA","Lamar County, Alabama",1075,1,"VALID",35084,"VALID",2.1,"UNRELIABLE",2.9,"UNRELIABLE",1,5,"VALID",34496,"VALID",11.3,"UNRELIABLE",14.5,"UNRELIABLE",1
"1578","ALABAMA","Lauderdale County, Alabama",1077,4,"VALID",175112,"VALID",2.3,"UNRELIABLE",2.3,"UNRELIABLE",1,9,"VALID",172735,"VALID",4.9,"UNRELIABLE",5.2,"UNRELIABLE",1
"1585","ALABAMA","Lawrence County, Alabama",1079,4,"VALID",61661,"VALID",6.8,"UNRELIABLE",6.5,"UNRELIABLE",1,2,"VALID",61250,"VALID",3.1,"UNRELIABLE",3.3,"UNRELIABLE",1
"1600","ALABAMA","Lee County, Alabama",1081,4,"VALID",150403,"VALID",4.3,"UNRELIABLE",2.7,"UNRELIABLE",1,9,"VALID",158743,"VALID",7.8,"UNRELIABLE",5.7,"UNRELIABLE",1
"1640","ALABAMA","Limestone County, Alabama",1083,3,"VALID",97851,"VALID",3.7,"UNRELIABLE",3.1,"UNRELIABLE",1,7,"VALID",109270,"VALID",6.9,"UNRELIABLE",6.4,"UNRELIABLE",1
"1703","ALABAMA","Lowndes County, Alabama",1085,0,"VALID",7751,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,0,"VALID",7642,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"1754","ALABAMA","Macon County, Alabama",1087,1,"VALID",10456,"VALID",6.2,"UNRELIABLE",9.6,"UNRELIABLE",1,1,"VALID",9340,"VALID",6.1,"UNRELIABLE",10.7,"UNRELIABLE",1
"1765","ALABAMA","Madison County, Alabama",1089,16,"VALID",395440,"VALID",5.3,"UNRELIABLE",4,"UNRELIABLE",1,18,"VALID",436944,"VALID",4.4,"UNRELIABLE",4.1,"UNRELIABLE",1
"1797","ALABAMA","Marengo County, Alabama",1091,3,"VALID",28332,"VALID",9.7,"UNRELIABLE",10.6,"UNRELIABLE",1,2,"VALID",28030,"VALID",5.8,"UNRELIABLE",7.1,"UNRELIABLE",1
"1802","ALABAMA","Marion County, Alabama",1093,4,"VALID",72342,"VALID",4.9,"UNRELIABLE",5.5,"UNRELIABLE",1,4,"VALID",71357,"VALID",4.9,"UNRELIABLE",5.6,"UNRELIABLE",1
"1823","ALABAMA","Marshall County, Alabama",1095,5,"VALID",158659,"VALID",3,"UNRELIABLE",3.2,"UNRELIABLE",1,6,"VALID",165238,"VALID",3.3,"UNRELIABLE",3.6,"UNRELIABLE",1
"1925","ALABAMA","Mobile County, Alabama",1097,23,"VALID",615192,"VALID",4.1,"VALID",3.7,"VALID",1,29,"VALID",625261,"VALID",4.9,"VALID",4.6,"VALID",1
"1934","ALABAMA","Monroe County, Alabama",1099,0,"VALID",31423,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,1,"VALID",33151,"VALID",2.8,"UNRELIABLE",3,"UNRELIABLE",1
"1955","ALABAMA","Montgomery County, Alabama",1101,9,"VALID",284824,"VALID",3.3,"UNRELIABLE",3.2,"UNRELIABLE",1,16,"VALID",290096,"VALID",5.5,"UNRELIABLE",5.5,"UNRELIABLE",1
"1982","ALABAMA","Morgan County, Alabama",1103,7,"VALID",199704,"VALID",4,"UNRELIABLE",3.5,"UNRELIABLE",1,9,"VALID",211447,"VALID",4.5,"UNRELIABLE",4.3,"UNRELIABLE",1
"2204","ALABAMA","Perry County, Alabama",1105,1,"VALID",13873,"VALID",6.8,"UNRELIABLE",7.2,"UNRELIABLE",1,0,"VALID",12270,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"2228","ALABAMA","Pickens County, Alabama",1107,4,"VALID",30717,"VALID",10.1,"UNRELIABLE",13,"UNRELIABLE",1,3,"VALID",30238,"VALID",7.7,"UNRELIABLE",9.9,"UNRELIABLE",1
"2237","ALABAMA","Pike County, Alabama",1109,1,"VALID",43597,"VALID",2,"UNRELIABLE",2.3,"UNRELIABLE",1,0,"VALID",43542,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"2354","ALABAMA","Randolph County, Alabama",1111,2,"VALID",36537,"VALID",4.5,"UNRELIABLE",5.5,"UNRELIABLE",1,0,"VALID",36424,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"2450","ALABAMA","Russell County, Alabama",1113,5,"VALID",68558,"VALID",8.8,"UNRELIABLE",7.3,"UNRELIABLE",1,8,"VALID",69969,"VALID",11,"UNRELIABLE",11.4,"UNRELIABLE",1
"2467","ALABAMA","Saint Clair County, Alabama",1115,3,"VALID",94195,"VALID",3.3,"UNRELIABLE",3.2,"UNRELIABLE",1,7,"VALID",106104,"VALID",6.3,"UNRELIABLE",6.6,"UNRELIABLE",1
"2588","ALABAMA","Shelby County, Alabama",1117,1,"VALID",157152,"VALID",1,"UNRELIABLE",0.6,"UNRELIABLE",1,7,"VALID",197179,"VALID",5.4,"UNRELIABLE",3.6,"UNRELIABLE",1
"2702","ALABAMA","Sumter County, Alabama",1119,0,"VALID",12791,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,0,"VALID",12332,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
