t_state,p_year,t_built,t_cap
AK,1997.0,6,390.0
AK,1999.0,6,475.0
AK,2000.0,2,100.0
AK,2001.0,1,1500.0
AK,2002.0,1,100.0
AK,2003.0,2,130.0
AK,2004.0,4,260.0
AK,2006.0,6,495.0
AK,2007.0,2,450.0
AK,2008.0,21,1475.0
AK,2009.0,14,5600.0
AK,2010.0,13,1900.0
AK,2011.0,4,400.0
AK,2012.0,45,50175.0
AK,2013.0,4,2700.0
AK,2014.0,2,0.0
AK,2015.0,4,0.0
AK,2018.0,4,900.0
AK,2019.0,1,900.0
AR,2003.0,1,100.0
AZ,2009.0,30,63000.0
AZ,2010.0,31,65100.0
AZ,2011.0,6,11000.0
AZ,2012.0,62,99200.0
AZ,2015.0,15,30000.0
AZ,2020.0,97,0.0
CA,1981.0,11,0.0
CA,1982.0,937,323.0
CA,1983.0,432,28080.0
CA,1984.0,155,10070.0
CA,1985.0,714,40375.0
CA,1986.0,151,17806.0
CA,1987.0,213,21310.0
CA,1988.0,277,35410.0
CA,1989.0,288,0.0
CA,1990.0,327,73700.0
CA,1991.0,1,225.0
CA,1992.0,1,500.0
CA,1994.0,30,14700.0
CA,1995.0,42,9450.0
CA,1996.0,13,0.0
CA,1997.0,207,10920.0
CA,1998.0,2,450.0
CA,1999.0,186,133475.0
CA,2001.0,108,64800.0
CA,2002.0,106,105272.0
CA,2003.0,141,198180.0
CA,2004.0,104,92690.0
CA,2005.0,93,61250.0
CA,2006.0,152,220000.0
CA,2007.0,21,63000.0
CA,2008.0,71,94000.0
CA,2009.0,172,279725.0
CA,2010.0,212,427500.0
CA,2011.0,370,981700.0
CA,2012.0,788,1625180.0
CA,2013.0,115,269550.0
CA,2014.0,35,106900.0
CA,2015.0,94,189800.0
CA,2016.0,3,1500.0
CA,2017.0,23,47400.0
CA,2018.0,114,329850.0
CA,2019.0,41,132800.0
CA,2020.0,25,0.0
CO,1999.0,29,21750.0
CO,2001.0,48,39600.0
CO,2003.0,108,162000.0
CO,2004.0,5,7500.0
CO,2005.0,1,50.0
CO,2006.0,40,60000.0
CO,2007.0,591,776000.0
CO,2008.0,1,900.0
CO,2009.0,83,178100.0
CO,2010.0,36,52800.0
CO,2011.0,262,500500.0
CO,2012.0,308,496000.0
CO,2013.0,18,31800.0
CO,2014.0,153,263250.0
CO,2015.0,232,394400.0
CO,2016.0,36,60860.0
CO,2017.0,36,75000.0
CO,2018.0,300,598000.0
CO,2019.0,27,59400.0
CO,2020.0,407,795760.0
CT,2010.0,1,100.0
CT,2015.0,2,5700.0
DE,2010.0,1,2000.0
FL,2013.0,1,0.0
GU,2016.0,1,275.0
HI,2001.0,1,1500.0
HI,2006.0,36,40560.0
HI,2007.0,14,21000.0
HI,2011.0,12,30000.0
HI,2012.0,53,114000.0
HI,2013.0,1,0.0
