Dish rating for A,Dish rating for B,Year
0.0,,2020
,1.0,2019
0.0,,2020
1.0,,2020
1.0,,2020
,1.0,2019
,0.0,2020
1.0,,2019
1.0,,2019
,1.0,2019
0.0,,2020
1.0,,2020
1.0,,2020
1.0,,2020
0.0,,2020
,0.0,2019
1.0,,2020
1.0,,2020
,1.0,2019
,1.0,2019
1.0,,2020
1.0,,2020
1.0,,2020
1.0,,2020
0.0,,2020
,1.0,2019
0.0,,2020
1.0,,2020
1.0,,2020
0.0,,2020
1.0,,2020
1.0,,2020
,0.0,2019
0.0,,2020
,1.0,2019
,0.0,2019
1.0,,2020
,1.0,2019
,0.0,2020
,1.0,2019
1.0,,2020
0.0,,2020
1.0,,2020
1.0,,2020
0.0,,2020
0.0,,2020
0.0,,2020
1.0,,2020
0.0,,2020
,0.0,2020
0.0,,2020
,1.0,2019
1.0,,2020
0.0,,2020
1.0,,2020
0.0,,2020
,1.0,2019
,1.0,2019
1.0,,2019
1.0,,2020
1.0,,2020
0.0,,2020
0.0,,2020
1.0,,2020
1.0,,2020
0.0,,2020
0.0,,2020
0.0,,2020
1.0,,2020
,1.0,2019
1.0,,2020
1.0,,2020
,0.0,2019
1.0,,2020
1.0,,2020
,0.0,2019
1.0,,2020
,1.0,2019
,1.0,2020
1.0,,2020
,0.0,2019
,1.0,2019
0.0,,2020
0.0,,2020
1.0,,2020
1.0,,2020
0.0,,2020
0.0,,2020
0.0,,2020
1.0,,2020
0.0,,2020
0.0,,2020
,1.0,2019
,1.0,2020
,1.0,2019
,1.0,2019
1.0,,2019
,1.0,2020
1.0,,2020
1.0,,2019
1.0,,2020
0.0,,2020
,1.0,2019
0.0,,2020
,1.0,2019
0.0,,2020
0.0,,2020
1.0,,2020
,1.0,2019
0.0,,2020
1.0,,2020
,1.0,2019
1.0,,2019
,1.0,2019
1.0,,2019
0.0,,2020
0.0,,2020
,1.0,2019
1.0,,2020
0.0,,2020
1.0,,2020
1.0,,2020
,1.0,2019
1.0,,2020
1.0,,2020
1.0,,2020
1.0,,2020
1.0,,2020
0.0,,2020
,1.0,2019
1.0,,2020
,1.0,2019
,1.0,2019
1.0,,2020
,1.0,2019
1.0,,2019
1.0,,2019
1.0,,2019
1.0,,2020
1.0,,2020
,1.0,2019
,0.0,2020
1.0,,2020
1.0,,2020
0.0,,2020
1.0,,2020
1.0,,2020
,0.0,2020
1.0,,2019
,1.0,2019
0.0,,2020
1.0,,2020
,1.0,2019
0.0,,2020
,1.0,2020
1.0,,2020
,1.0,2019
,1.0,2019
0.0,,2020
0.0,,2020
1.0,,2020
,1.0,2019
0.0,,2020
,1.0,2020
,1.0,2019
0.0,,2020
1.0,,2020
,0.0,2020
1.0,,2019
1.0,,2020
,1.0,2019
1.0,,2020
1.0,,2020
,1.0,2019
0.0,,2020
,1.0,2019
,1.0,2019
0.0,,2020
1.0,,2020
,0.0,2019
0.0,,2020
1.0,,2020
1.0,,2020
1.0,,2020
,1.0,2019
,1.0,2019
1.0,,2020
,1.0,2019
1.0,,2020
,1.0,2020
0.0,,2020
1.0,,2020
1.0,,2020
1.0,,2020
,1.0,2019
,1.0,2020
1.0,,2020
,1.0,2019
0.0,,2020
0.0,,2020
,1.0,2019
,0.0,2020
0.0,,2020
1.0,,2019
1.0,,2020
0.0,,2020
,1.0,2019
0.0,,2020
1.0,,2020
,1.0,2019
1.0,,2020
1.0,,2019
1.0,,2020
1.0,,2020
1.0,,2020
1.0,,2019
0.0,,2020
,1.0,2019
,0.0,2020
,1.0,2019
,1.0,2019
0.0,,2020
,1.0,2019
0.0,,2020
0.0,,2020
1.0,,2020
0.0,,2020
1.0,,2019
1.0,,2020
0.0,,2020
0.0,,2020
0.0,,2020
1.0,,2019
,0.0,2020
0.0,,2020
,1.0,2019
0.0,,2020
,1.0,2019
1.0,,2020
,0.0,2019
1.0,,2020
,0.0,2019
,1.0,2019
,1.0,2019
1.0,,2020
0.0,,2020
0.0,,2020
,1.0,2019
0.0,,2020
1.0,,2020
,1.0,2019
0.0,,2020
1.0,,2020
1.0,,2020
,1.0,2019
1.0,,2020
1.0,,2020
,1.0,2019
,1.0,2019
,1.0,2019
,1.0,2019
1.0,,2020
1.0,,2020
,0.0,2020
0.0,,2020
0.0,,2020
0.0,,2020
1.0,,2020
0.0,,2020
1.0,,2020
,1.0,2019
,1.0,2020
1.0,,2019
0.0,,2020
,1.0,2020
1.0,,2020
1.0,,2020
,1.0,2019
,1.0,2019
1.0,,2020
0.0,,2020
0.0,,2020
,0.0,2019
0.0,,2020
0.0,,2020
0.0,,2020
,1.0,2019
,1.0,2019
,1.0,2020
0.0,,2020
1.0,,2020
1.0,,2019
1.0,,2019
1.0,,2020
,1.0,2019
0.0,,2020
,1.0,2019
1.0,,2020
0.0,,2020
1.0,,2020
